thickness,ltt_name,adb,laser_power,material_type,machine_type,feedrate,focal_position,gas_pressure,failure
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,8.4,-4,24,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,8.4,1,16,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,8.4,-4,20,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,8.4,2,20,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,7.6,2,20,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,7.6,2,16,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,8.4,-6,20,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,8.4,-5,24,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,7.6,-6,20,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,8.4,1,24,1
80,ST080MD5-N2S0-30-2,4,10000,S355,L76,8.4,0,16,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.4,-12.1,3.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.4,-12.1,4.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,2.4,-7.1,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,H450,L76,1.8,-10.6,2.5,1
100,ST100MD0-N2H0-30-2,0.7,10000,S235JR,L81,4.5,-7.5,6,1
100,ST100MD0-N2H0-30-2,0.7,10000,S235JR,L81,5.4,-4.5,10,1
100,ST100MD0-N2H0-30-2,0.7,10000,S235JR,L81,5.4,-5.5,8,1
100,ST100MD0-N2H0-30-2,0.7,10000,S235JR,L81,4.5,-7.5,10,1
100,ST100MD0-N2H0-30-2,0.7,10000,S235JR,L81,5.4,-1,10,1
150,ST150MD0-N2H0-30-2,0.4,10000,16Mo3,L76,2.4,-12.1,3.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,16Mo3,L76,2.4,-12.1,4.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,16Mo3,L76,2.4,-9.6,4.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,16Mo3,L76,2.4,-9.6,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,16Mo3,L76,2.4,-12.1,1.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,16Mo3,L76,2.4,-10.6,3.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,16Mo3,L76,2.2,-12.1,2.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,16Mo3,L76,2.2,-12.1,3.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,16Mo3,L76,2.2,-12.1,4.5,1
150,ST150MD0-N2H0-30-2,0.4,10000,16Mo3,L76,2.4,-10.6,1.5,1
80,ST080MD0-N2H0-30-2,0.4,10000,S355,L76,7.2,1.9,10,1
80,ST080MD0-N2H0-30-2,0.4,10000,S355,L76,7.8,-1.2,12,1
80,ST080MD0-N2H0-30-2,0.4,10000,S355,L76,7.8,-0.3,12,1
60,ST060MD0-O2S0-30-2,0.8,10000,S235JR,L76,2.8,9.3,0.6,1
60,ST060MD0-O2S0-30-2,0.8,10000,S235JR,L76,3.3,9.3,0.7,1
60,ST060MD0-O2S0-30-2,0.8,10000,S235JR,L76,2.4,8.3,0.5,1
100,ST100MD0-N2H0-30-2,0.4,10000,16Mo3,L76,4.9,-1.3,9.5,1
